lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
121,52.283594167,20.956018333,16:33:50,1,9515,16:21:00,12.833333333333334,6008,01,AWF
159,52.222977,21.014262333,16:33:50,3,9519,16:27:00,6.833333333333333,7011,03,pl.Konstytucji
226,52.340206,21.048727,16:33:49,2,9687,16:17:00,16.816666666666666,1225,01,Zdziarska-Kanał
167,52.211884,21.07396,16:33:48,4,9816,16:31:00,2.8,3071,02,Łososiowa
185,52.19088,21.058922,16:33:47,5,9820,16:33:00,0.7833333333333333,3063,02,Limanowskiego
114,52.295242,21.042213,16:33:47,5,9937,16:27:00,6.783333333333333,1153,01,Łojewska
186,52.20507,20.974022,16:33:48,9,9938,16:23:00,10.8,4107,01,Skorochód-Majewskiego
219,52.1939433,21.1623175,16:34:40,1,1001,16:32:00,2.6666666666666665,2403,02,Tadżycka
108,52.186371,21.063223,16:34:45,3,1077,16:22:00,12.75,3064,04,Goraszewska
107,52.223831,21.02247,16:34:42,3,1078,16:21:00,13.7,7038,03,Piękna
263,52.149902,21.053322,16:34:45,2,1202,16:18:00,16.75,3144,01,Szolc-Rogozińskiego
263,52.159302,21.085499,16:34:45,3,1213,16:24:00,10.75,3045,04,Vogla
218,52.188877,20.995214,16:34:40,1,1216,16:35:00,-0.3333333333333333,3258,02,Zajezdnia Woronicza
119,52.206112,21.175959,16:34:46,2,1413,16:25:00,9.766666666666667,2028,02,Pożaryskiego
183,52.252758,21.151676,16:34:45,3,1420,16:26:00,8.75,2069,02,Pocisk
702,52.13833,21.191466,16:34:27,2,1523,16:25:00,9.45,2224,02,Podleśna
173,52.224965,21.2434833,16:34:46,5,1526,16:34:00,0.7666666666666667,2465,01,Mazowiecka
126,52.315795,20.9998117,16:34:32,1,1539,16:25:00,9.533333333333333,1096,01,os.Marywilska
181,52.309261,20.919741,16:34:30,2,1542,16:17:00,17.5,6074,01,Anny Jagiellonki
126,52.317216,20.952788,16:34:40,2,1555,16:30:00,4.666666666666667,1277,09,Tarchomin
169,52.3004626,21.0415633,16:34:41,5,1816,16:36:00,-1.3166666666666667,1152,06,Bródno-Podgrodzie
106,52.2463677,21.0193492,16:34:46,3,1907,16:34:00,0.7666666666666667,7059,01,Mariensztat
165,52.17786,21.003948,16:34:41,3,2026,16:21:00,13.683333333333334,3243,01,rondo Unii Europejskiej
105,52.229576,20.97864,16:34:43,4,2201,16:23:00,11.716666666666667,5041,02,Karolkowa
511,52.2911966,20.928532,16:34:45,2,3401,16:22:00,12.75,6059,18,Metro Młociny
190,52.3050118,21.0849528,16:34:43,8,3402,16:15:00,19.716666666666665,1234,01,CH Marki
735,52.3271033,21.0289611,16:34:42,62,3424,16:28:00,6.7,1129,02,Bruszewska
527,52.3043735,21.0597133,16:34:42,515,3431,16:33:00,1.7,1179,02,CH Targówek
