lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
116,52.280212,20.923113,13:31:10,16,5989,13:18:00,13.166666666666666,6026,05,Bogusławskiego
128,52.233326,21.019514,13:31:14,406,5994,13:24:00,7.233333333333333,7042,02,Foksal
180,52.25948,20.9606,13:31:12,1,5997,13:15:00,16.2,6091,02,Elbląska
L29,52.2677313,20.4626223,13:31:11,1,60056,13:32:00,-0.8166666666666667,6817,01,Kampinos
L-7,52.3461578,20.8575331,13:31:14,1,60058,13:31:00,0.23333333333333334,6806,01,Instytut Ekologii PAN
184,52.256695,20.920849,13:31:13,1,6201,13:33:00,-1.7833333333333334,5064,04,Wrocławska
105,52.221916,20.92428,13:31:14,3,6202,13:29:00,2.2333333333333334,5001,01,Połczyńska-parking P+R
517,52.19162,20.861237,13:31:14,1,6217,13:28:00,3.2333333333333334,4211,01,Ursus-Sanktuarium
105,52.238968,20.900509,13:31:15,5,6219,13:34:00,-2.75,5050,71,os.Górczewska
184,52.212803,20.967274,13:31:13,7,6229,13:30:00,1.2166666666666666,4154,03,Szczęśliwicka
172,52.1795165,21.0523447,13:31:10,4,6231,13:32:00,-0.8333333333333334,3093,02,Batumi
184,52.2909344,20.9277021,13:31:11,2,6234,13:31:00,0.18333333333333332,6059,24,Metro Młociny
L39,52.0974728,21.0531701,13:30:50,4,70001,13:31:00,-0.16666666666666666,3439,01,Srebrnych Świerków
L14,52.0797386,21.2018771,13:31:15,1,70033,13:32:00,-0.75,3854,01,Gassy-Pętla
177,52.2249767,20.8971389,13:31:01,3,7200,13:28:00,3.0166666666666666,5046,02,Siemiatycka
189,52.185997,21.064465,13:31:13,10,7202,13:23:00,8.216666666666667,3064,01,Goraszewska
190,52.2422371,20.9942562,13:31:15,13,7204,13:31:00,0.25,7085,02,Kino Femina
191,52.190842,20.892368,13:31:10,5,7206,13:25:00,6.166666666666667,4098,02,Wapowskiego
112,52.2926676,21.0234314,13:31:14,9,7207,13:25:00,6.233333333333333,1161,02,św.Hieronima
189,52.238831,20.896267,13:31:14,16,7222,13:28:00,3.2333333333333334,5050,01,os.Górczewska
184,52.28981,20.932467,13:31:14,3,7231,13:26:00,5.233333333333333,6057,04,Sokratesa
136,52.2479052,20.9652906,13:31:14,015,7240,13:31:00,0.23333333333333334,5124,02,Ostroroga
401,52.194244,20.867855,13:31:11,6,7242,13:30:00,1.1833333333333333,4343,52,Keniga
189,52.1829947,20.9800624,13:31:10,13,7247,13:30:00,1.1666666666666667,4037,03,Sasanki
507,52.2252995,21.073103,13:31:14,2,7302,13:30:00,1.2333333333333334,2143,01,Afrykańska
402,52.24028,21.156046,13:31:14,3,7309,13:31:00,0.23333333333333334,2064,04,Marysin
125,52.20623,21.17494,13:31:10,1,7313,13:31:00,0.16666666666666666,2028,01,Pożaryskiego
520,52.239399,21.153408,13:31:10,8,7315,13:28:00,3.1666666666666665,2063,02,Sezam
182,52.237991,21.09948,13:31:07,6,7322,13:33:00,-1.8833333333333333,2107,04,Łukowska
507,52.229534,21.005358,13:31:11,4,7331,13:32:00,-0.8166666666666667,7002,16,Dw.Centralny
509,52.2626535,21.0218144,13:31:14,9,7706,13:25:00,6.233333333333333,1006,09,rondo Starzyńskiego
172,52.1806152,21.0541037,13:31:14,2,7710,13:30:00,1.2333333333333334,3093,01,Batumi
517,52.2229449,21.0433307,13:31:14,5,7712,13:33:00,-1.7666666666666666,7076,07,Torwar
517,52.2182109,20.9671782,13:31:14,8,7720,13:31:00,0.23333333333333334,4044,01,Dw.Zachodni
189,52.1710452,21.0418932,13:31:14,11,7723,13:25:00,6.233333333333333,3098,02,Nowoursynowska
189,52.1712869,21.0403552,13:31:15,7,7729,13:28:00,3.25,3098,05,Nowoursynowska
523,52.2196671,21.0268925,13:31:14,1,7730,13:32:00,-0.7666666666666667,7037,55,pl.Na Rozdrożu
521,52.2078879,20.9638484,13:31:14,3,7735,13:33:00,-1.7666666666666666,4119,03,Szczęśliwice
182,52.2362634,21.0872225,13:31:14,3,7736,13:30:00,1.2333333333333334,2101,01,Poligonowa
525,52.2197074,21.0272007,13:31:14,3,7747,13:30:00,1.2333333333333334,7037,55,pl.Na Rozdrożu
509,52.2254787,21.092916,13:31:14,7,7748,13:28:00,3.2333333333333334,2146,04,Bora-Komorowskiego
509,52.3164764,20.9595,13:31:14,15,7751,13:26:00,5.233333333333333,1256,02,Myśliborska
125,52.2426418,21.1010666,13:31:13,5,7757,13:30:00,1.2166666666666666,2011,01,pl.Szembeka
402,52.2182023,21.0981375,13:31:15,2,7759,13:29:00,2.25,2205,03,most Siekierkowski
250,52.291119,20.927677,13:31:14,3,777,13:33:00,-1.7666666666666666,6059,22,Metro Młociny
750,52.3757586,20.8049402,13:31:14,2,779,13:30:00,1.2333333333333334,6646,02,Pieńków-Wieś
125,52.2260329,21.1551286,13:31:14,2,7806,13:25:00,6.233333333333333,2019,02,Trawiasta
202,52.2474934,21.0512071,13:31:13,541,7808,13:26:00,5.216666666666667,2002,01,Lubelska
145,52.281243,21.112208,13:31:09,1,7833,13:26:00,5.15,1222,01,Cmentarz
502,52.214435,21.2174403,13:31:13,462,7834,13:33:00,-1.7833333333333334,2440,05,Stara Miłosna (Graniczna)
151,52.2222837,21.0157977,13:31:15,2,7842,13:31:00,0.25,7011,01,pl.Konstytucji
402,52.1779471,21.0031066,13:31:15,7,7845,13:32:00,-0.75,3243,01,rondo Unii Europejskiej
143,52.261836,21.173411,13:30:54,7,7846,13:30:00,0.9,2262,01,Topograficzna
125,52.2470827,21.0430959,13:31:15,4,7850,13:24:00,7.25,1231,01,Metro Stadion Narodowy
145,52.2903239,21.0188227,13:31:14,3,7853,13:32:00,-0.7666666666666667,1158,01,Bazyliańska
525,52.22969,21.0037748,13:31:11,4,7878,13:34:00,-2.816666666666667,7002,21,Dw.Centralny
521,52.1593762,21.2047124,13:31:15,6,7881,13:32:00,-0.75,2052,03,Falenica
L48,52.2374963,21.2578456,13:31:13,1,80101,13:29:00,2.216666666666667,2852,04,Mariańska
L38,52.3250051,21.2855175,13:30:32,1,80111,13:31:00,-0.4666666666666667,1744,02,Majdan
L45,52.3449121,21.0981481,13:31:13,1,80115,13:30:00,1.2166666666666666,1535,01,Parkowa
L35,52.3708011,21.3166121,13:31:11,1,80118,13:31:00,0.18333333333333332,1742,02,Stare Grabie-Szkoła
504,52.1455286,21.0435166,13:31:12,2,8301,13:30:00,1.2,3403,02,Warchałowskiego
148,52.157966,20.9865911,13:31:10,2,8303,13:31:00,0.16666666666666666,4147,01,Terminal Cargo
317,52.1846935,20.9599315,13:31:12,5,8307,13:28:00,3.2,4141,02,Ogród Działkowy im.Warneńczyka
148,52.150287,21.0465461,13:31:06,1,8314,13:31:00,0.1,3280,01,Metro Imielin
710,52.1311763,21.0774663,13:31:13,6,8319,13:30:00,1.2166666666666666,3423,02,Rosnowskiego
136,52.2475551,20.9653828,13:31:13,12,8321,13:23:00,8.216666666666667,5124,02,Ostroroga
709,52.1266048,21.017987,13:31:13,8,8326,13:29:00,2.216666666666667,3018,01,Łagiewnicka
709,52.0916526,21.0188213,13:31:12,7,8336,13:28:00,3.2,3191,01,Iwiczna
127,52.231355,21.018781,13:31:07,6,8349,13:32:00,-0.8833333333333333,7033,02,Krucza
501,52.2223283,21.0167933,13:31:04,6,8351,13:28:00,3.066666666666667,7011,02,pl.Konstytucji
522,52.2282,21.0033967,13:31:05,6,8360,13:29:00,2.0833333333333335,7002,02,Dw.Centralny
519,52.1321667,21.101035,13:31:14,3,8367,13:18:00,13.233333333333333,3048,01,Czekoladowa
402,52.1797117,20.9949,13:31:13,9,8368,13:24:00,7.216666666666667,3250,02,Postępu
120,52.338165,21.047209,13:31:14,8,8450,13:30:00,1.2333333333333334,1346,02,Pszeniczna
527,52.316345,21.059658,13:31:09,514,8458,13:27:00,4.15,1359,04,os.Derby
138,52.174526,21.002584,13:31:13,8,8460,13:26:00,5.216666666666667,3244,01,Cybernetyki
217,52.178589,21.026624,13:31:04,4,8502,13:30:00,1.0666666666666667,3037,02,Podbipięty
217,52.1694933,21.0680017,13:31:02,2,8504,13:32:00,-0.9666666666666667,3042,03,Sobieskiego
501,52.228961,21.002466,13:31:00,5,8505,13:33:00,-2.0,7002,27,Dw.Centralny
165,52.1797633,21.01282,13:31:08,1,8507,13:30:00,1.1333333333333333,3113,04,Smoluchowskiego
127,52.221481,20.977358,13:31:11,5,8510,13:29:00,2.183333333333333,4042,02,Białobrzeska
