lines,latitude,longitude,time,brigade,vehicle_number
249,52.239056,20.913612,16:32:51,2,4210
178,52.18573,20.895866,16:32:51,1,4211
178,52.2356364,21.0112651,16:32:52,3,4212
207,52.193077,20.905359,16:32:48,4,4213
255,52.2272,20.951807,16:32:49,1,4214
178,52.213192,20.95434,16:32:49,010,4215
154,52.20612,20.972015,16:32:50,05,4216
255,52.223415,20.930626,16:32:52,2,4217
249,52.246933,20.946333,16:32:52,676,4218
249,52.233459,20.896845,16:32:49,678,4219
122,52.256607,20.920874,16:32:51,2,4220
154,52.1896461,20.9806286,16:32:49,2,4221
122,52.25153,20.914694,16:32:51,679,4223
178,52.194027,20.909491,16:32:52,8,4224
178,52.203808,20.924486,16:32:48,7,4225
129,52.1970541,20.9191282,16:32:51,4,4226
178,52.245022,21.014051,16:32:51,4,4227
714,52.2738062,20.8065932,16:32:47,1,4228
154,52.183376,20.965836,16:32:51,1,4229
207,52.198115,20.881875,16:32:37,05,4230
129,52.200314,20.914495,16:32:51,4,4232
729,52.238815,20.913425,16:32:52,02,4233
178,52.21759,20.960424,16:32:51,5,4234
122,52.2394629,20.8999699,16:32:51,9,4235
122,52.289795,20.976377,16:32:51,4,4236
154,52.201748,20.968655,16:32:51,4,4237
197,52.253433,20.932461,16:32:50,1,4238
122,52.265625,20.945282,16:32:52,015,4239
714,52.261543,20.830608,16:32:52,2,4240
197,52.254189,20.931738,16:32:50,2,4241
129,52.205021,20.916,16:32:49,3,4242
197,52.270275,20.949753,16:32:48,5,4245
714,52.239178,20.905535,16:32:49,3,4246
154,52.211452,20.97579,16:32:49,3,4248
319,52.2072882,21.1907297,16:32:52,04,4301
146,52.1748424,21.1488006,16:32:52,2,4303
722,52.2333242,21.1174164,16:32:52,01,4304
146,52.2109347,21.1061864,16:32:52,5,4305
147,52.207561,21.1102552,16:32:52,2,4306
702,52.2260349,21.1437292,16:32:52,1,4307
173,52.2350346,21.1254258,16:32:49,7,4308
153,52.2768087,21.1701494,16:32:52,04,4309
168,52.2067599,21.0414565,16:32:51,08,4310
702,52.1078077,21.2631101,16:32:52,03,4311
142,52.1753161,21.1477595,16:32:52,06,4312
146,52.2278339,21.0584634,16:32:52,07,4313
153,52.2637079,21.1569285,16:32:52,1,4314
146,52.2502864,21.0523829,16:32:51,4,4315
147,52.2260457,21.0821239,16:32:52,1,4316
168,52.21501,21.0936401,16:32:51,6,4317
319,52.2008696,21.1715802,16:32:52,05,4318
319,52.1416575,21.0389176,16:32:51,09,4319
142,52.2432417,21.0975412,16:32:52,07,4320
119,52.2103201,21.1608094,16:32:52,1,4321
319,52.1525775,21.0912994,16:32:52,07,4322
117,52.2279516,21.0584051,16:32:52,4,4323
183,52.2473994,21.1837954,16:32:52,07,4326
173,52.2305021,21.248845,16:32:52,011,4327
119,52.210778,21.1063417,16:32:52,5,4328
146,52.1741494,21.1511646,16:32:51,1,4329
129,52.2467577,20.9476049,16:32:51,2,4331
207,52.183296,20.8705319,16:32:48,06,4332
178,52.2178507,20.9599125,16:32:49,6,4334
178,52.1856586,20.8958956,16:32:51,011,4335
729,52.254033,20.7274747,16:32:52,1,4336
255,52.2295494,20.9788966,16:32:52,3,4338
178,52.2016282,20.9349386,16:32:52,2,4339
156,52.274815,21.066229,16:32:52,5,4401
122,52.2618667,20.9685819,16:32:49,012,4403
156,52.293835,21.012388,16:32:52,4,4404
118,52.223389,21.017057,16:32:47,1,4405
204,52.2935364,21.0309557,16:32:52,2,4406
123,52.252528,21.05084,16:32:47,1,4407
170,52.277458,21.080812,16:32:52,3,4408
134,52.306973,21.061245,16:32:52,3,4409
166,52.211189,21.027252,16:32:51,7,4410
122,52.25198,20.91419,16:32:50,1,4411
197,52.252071,20.936987,16:32:51,09,4412
134,52.292095,21.007378,16:32:48,04,4413
181,52.281189,20.959183,16:32:51,1,4414
240,52.311489,21.064169,16:32:49,2,4415
134,52.332714,21.047291,16:32:48,2,4416
123,52.225658,21.083817,16:32:49,09,4417
134,52.359833,21.053303,16:32:51,05,4418
181,52.305042,20.935104,16:32:52,3,4419
123,52.238613,21.099792,16:32:47,3,4420
126,52.292488,21.042313,16:32:51,4,4421
122,52.267662,20.981304,16:32:51,3,4422
169,52.291733,21.051435,16:32:44,1,4423
197,52.223476,20.930817,16:32:50,08,4424
134,52.271847,20.968266,16:32:52,1,4425
169,52.249866,21.042377,16:32:51,3,4426
170,52.252487,21.038509,16:32:49,1,4427
122,52.25161,20.914524,16:32:52,6,4428
123,52.231293,21.066561,16:32:48,2,4429
166,52.251999,21.038103,16:32:51,5,4430
122,52.239685,20.897556,16:32:49,014,4431
166,52.205055,21.032274,16:32:52,4,4432
122,52.229809,20.897007,16:32:51,10,4434
517,52.1951212,20.8625934,16:32:44,2,5201
401,52.1835398,20.9792168,16:32:44,6,5202
706,52.175273,20.942956,16:32:41,1,5203
187,52.1925545,20.8938507,16:32:52,1,5204
414,52.2006579,20.9677229,16:32:49,02,5205
713,52.223283,20.929323,16:32:45,04,5206
713,52.210836,20.7763017,16:32:48,05,5207
523,52.2180167,20.9764456,16:32:50,13,5208
186,52.2051851,20.9740331,16:32:44,017,5211
186,52.2508473,20.9553692,16:32:43,018,5212
136,52.2210172,20.9597933,16:32:49,2,5213
713,52.2157991,20.8603265,16:32:42,3,5214
719,52.2409021,20.8817919,16:32:52,1,5215
743,52.2102465,20.8038583,16:32:51,05,5216
713,52.2129704,20.8293491,16:32:50,2,5217
ZA1,52.2152787,20.9575643,16:32:47,04,5218
171,52.2286979,21.0320707,16:32:51,6,5219
148,52.2256722,21.0927737,16:32:47,011,5220
716,52.1929305,20.8288418,16:32:44,63,5221
171,52.2435166,21.0021837,16:32:44,4,5222
182,52.2161957,20.9878014,16:32:44,8,5224
172,52.1976336,21.0237555,16:32:52,010,5226
136,52.2381642,20.9559239,16:32:49,11,5227
717,52.201812,20.9375814,16:32:52,66,5229
523,52.246605,21.104164,16:32:49,714,5230
188,52.2475201,21.0998448,16:32:45,1,5232
172,52.1808114,21.0545204,16:32:43,4,5236
ZA1,52.2256124,20.9928523,16:32:47,02,5237
177,52.22894,20.913994,16:32:41,2,5238
184,52.245713,20.9395313,16:32:44,8,5239
105,52.226776,20.897506,16:32:39,2,5240
184,52.287166,20.937231,16:32:48,5,5241
187,52.2137698,20.9553469,16:32:46,12,5242
523,52.2179923,21.0197569,16:32:50,14,5245
184,52.2296934,20.9502323,16:32:49,3,5246
177,52.2025623,20.8749761,16:32:44,08,5247
191,52.2050923,20.9422095,16:32:47,08,5248
719,52.2578058,20.7103748,16:32:46,5,5249
191,52.193463,20.909196,16:32:47,09,5250
716,52.2165913,20.8812042,16:32:44,61,5251
521,52.2329798,21.1300667,16:32:48,5,5252
188,52.2495252,21.0931919,16:32:50,6,5253
136,52.1566282,21.0214783,16:32:48,4,5254
717,52.2046525,20.9407897,16:32:49,068,5255
188,52.2308244,21.0719703,16:32:50,2,5257
523,52.2383785,20.9527961,16:32:43,11,5258
517,52.220541,20.984861,16:32:39,8,5260
511,52.344246,20.951328,16:32:49,07,5403
190,52.236809,20.969225,16:32:52,018,5404
112,52.292263,21.007809,16:32:51,3,5406
132,52.3059125,21.0578624,16:32:45,4,5407
112,52.293671,21.015488,16:32:43,8,5409
723,52.356918,20.940214,16:32:52,474,5411
509,52.340561,20.947823,16:32:51,020,5413
509,52.226242,21.066668,16:32:50,11,5414
102,52.247322,21.051464,16:32:52,09,5415
511,52.296093,20.933445,16:32:42,1,5416
705,52.428131,21.031048,16:32:47,63,5417
723,52.408306,20.917871,16:32:49,477,5418
120,52.346153,21.053173,16:32:47,010,5419
705,52.290432,21.003626,16:32:47,1,5421
500,52.258461,21.001518,16:32:50,2,5425
120,52.324181,21.067556,16:32:51,1,5426
731,52.331745,20.965065,16:32:47,480,5427
731,52.291264,21.000883,16:32:51,470,5428
116,52.2140016,21.0265784,16:32:51,9,5429
160,52.2435,20.9987,16:32:50,715,5430
738,52.3387,21.1178,16:32:51,1,5431
511,52.349232,20.944059,16:32:51,06,5433
111,52.244251,21.009281,16:32:51,011,5434
511,52.330956,20.966223,16:32:50,4,5435
190,52.26646,21.058828,16:32:47,5,5436
199,52.284515,21.125088,16:32:51,2,5437
500,52.2877325,21.0481442,16:32:52,5,5438
160,52.229534,21.002747,16:32:52,518,5439
120,52.252438,21.050716,16:32:50,09,5440
112,52.303581,21.086948,16:32:51,6,5441
414,52.28672,21.024969,16:32:51,08,5442
705,52.31918,21.020523,16:32:49,64,5443
245,52.292976,21.041748,16:32:49,4,5444
509,52.333069,20.941645,16:32:50,2,5445
509,52.318199,20.952896,16:32:50,14,5446
738,52.27647,21.05294,16:32:50,5,5448
527,52.2929885,21.0522754,16:32:51,012,5449
145,52.289024,21.020144,16:32:49,6,5450
112,52.27787,20.939873,16:32:51,2,5451
190,52.303501,21.086626,16:32:51,3,5452
705,52.424641,21.033569,16:32:49,08,5453
414,52.29562,21.042229,16:32:51,07,5454
132,52.271965,20.96874,16:32:49,1,5455
731,52.3699,20.936,16:32:51,478,5456
500,52.2615,21.0119,16:32:51,4,5457
509,52.285564,21.007832,16:32:50,021,5458
731,52.421516,20.925518,16:32:51,731,5459
120,52.296509,21.052685,16:32:46,2,5460
128,52.228386,21.004061,16:32:49,408,5870
503,52.2379237,21.0176785,16:32:51,11,5871
175,52.2156704,20.9881409,16:32:52,700,5872
128,52.199017,20.984331,16:32:51,405,5873
503,52.220573,21.024998,16:32:51,3,5875
175,52.225037,20.990728,16:32:50,334,5877
175,52.2047,20.986294,16:32:49,708,5878
519,52.167843,21.084116,16:32:52,8,5879
